iter	RMSE
0	702.7718423
1	676.4442852
2	652.8048036
3	635.6709058
4	620.4409509
5	605.0369389
6	590.1101768
7	578.1724625
8	566.8888931
9	557.1716989
10	549.344511
11	540.0449216
12	532.2415044
13	526.2435713
14	520.7808635
15	514.190298
16	509.3131771
17	503.7243283
18	499.976258
19	494.7780679
20	491.4482931
21	486.6581791
22	483.1237938
23	479.1512087
24	475.4276238
25	472.2363165
26	468.9386049
27	467.2323209
28	464.7709463
29	461.9424941
30	459.7500282
31	457.4064237
32	454.6269141
33	452.2038344
34	450.5651931
35	448.3237948
36	445.9938375
37	444.066598
38	442.588019
39	440.5341172
40	438.2893398
41	436.3123809
42	434.4351414
43	432.5991968
44	430.6593171
45	429.4827995
46	428.0002814
47	426.8140699
48	425.7049167
49	424.196754
50	422.6333295
51	422.0559073
52	419.8872713
53	418.4176188
54	417.1137367
55	415.3988107
56	414.6208062
57	413.7897609
58	412.0391541
59	410.6416434
60	409.5347977
61	407.6289183
62	406.8769173
63	405.6694025
64	404.6465463
65	403.5557472
66	402.3870709
67	401.7928034
68	400.602566
69	399.9837406
70	399.3182713
71	398.4502097
72	397.2043766
73	396.1007076
74	395.4662099
75	394.5484598
76	393.3143003
77	392.0903836
78	391.0872755
79	390.4614019
80	389.6939335
81	388.8515477
82	387.7415908
83	386.8429737
84	386.2272146
85	385.7612076
86	384.7245401
87	383.6836715
88	383.0916209
89	382.3368538
90	380.9814831
91	380.480241
92	379.6834205
93	378.7445634
94	377.834732
95	377.3348509
96	376.4996753
97	375.6998423
98	375.1300849
99	374.2240562
100	373.0133278
101	372.3198546
102	371.8357546
103	371.3282279
104	370.7021497
105	370.3143225
106	369.869211
107	369.3137136
108	368.8495434
109	368.0196119
110	367.5036545
111	366.9982473
112	366.4382392
113	365.561529
114	364.7778152
115	364.3309811
116	363.3837447
117	363.06769
118	362.6903748
119	361.6411726
120	361.0588619
121	360.2652122
122	359.9288919
123	358.9854095
124	358.4295112
125	358.1165038
126	357.677545
127	356.9482593
128	356.5172903
